round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
27,1.432492755780554,49.55,298.1712474822998,2.3168199889126875,"[{""client_id"": 9, ""average_loss"": 1.0656125121509905, ""accuracy"": 63.152804642166345, ""samples"": 6204}, {""client_id"": 6, ""average_loss"": 0.9477406631816517, ""accuracy"": 67.53870795515216, ""samples"": 5619}, {""client_id"": 7, ""average_loss"": 0.999844422510692, ""accuracy"": 65.92989506586292, ""samples"": 4479}, {""client_id"": 3, ""average_loss"": 1.0723691797918744, ""accuracy"": 60.909893992932865, ""samples"": 2264}, {""client_id"": 8, ""average_loss"": 0.9797078179863264, ""accuracy"": 65.44997783360425, ""samples"": 6767}]"
28,1.4186501578920205,46.53,308.93019938468933,2.254579571610549,"[{""client_id"": 1, ""average_loss"": 1.1783531870160784, ""accuracy"": 61.54195011337868, ""samples"": 2205}, {""client_id"": 0, ""average_loss"": 1.0930556706965915, ""accuracy"": 61.94690265486726, ""samples"": 8023}, {""client_id"": 7, ""average_loss"": 0.9481145296777997, ""accuracy"": 67.02388926099576, ""samples"": 4479}, {""client_id"": 9, ""average_loss"": 1.013619883773253, ""accuracy"": 65.34493874919407, ""samples"": 6204}, {""client_id"": 2, ""average_loss"": 0.999671327471733, ""accuracy"": 66.2586315128688, ""samples"": 6372}]"
29,1.3834386228755782,50.62,317.71594643592834,1.6115672990131458,"[{""client_id"": 3, ""average_loss"": 1.0723328689734142, ""accuracy"": 62.41166077738516, ""samples"": 2264}, {""client_id"": 4, ""average_loss"": 0.9636556539270613, ""accuracy"": 66.20779597159832, ""samples"": 6901}, {""client_id"": 5, ""average_loss"": 1.0673780692251105, ""accuracy"": 62.94067067927773, ""samples"": 1163}, {""client_id"": 9, ""average_loss"": 1.0342539567308329, ""accuracy"": 65.08704061895551, ""samples"": 6204}, {""client_id"": 7, ""average_loss"": 0.9684625250952584, ""accuracy"": 66.2201384237553, ""samples"": 4479}]"
30,1.3614423609083626,50.34,326.18253803253174,2.8670522720800036,"[{""client_id"": 3, ""average_loss"": 0.999350153737598, ""accuracy"": 65.85689045936395, ""samples"": 2264}, {""client_id"": 6, ""average_loss"": 0.9523563357916746, ""accuracy"": 66.79124399359317, ""samples"": 5619}, {""client_id"": 5, ""average_loss"": 0.8005724831631309, ""accuracy"": 74.03267411865865, ""samples"": 1163}, {""client_id"": 7, ""average_loss"": 0.9443925627640315, ""accuracy"": 67.84996651038178, ""samples"": 4479}, {""client_id"": 2, ""average_loss"": 0.9624252915382385, ""accuracy"": 68.0947897049592, ""samples"": 6372}]"
31,1.2950382061824677,50.53,336.96600914001465,1.7227889186392085,"[{""client_id"": 7, ""average_loss"": 0.9908141808850425, ""accuracy"": 66.82295155168565, ""samples"": 4479}, {""client_id"": 0, ""average_loss"": 0.9167529727731433, ""accuracy"": 67.59316963729279, ""samples"": 8023}, {""client_id"": 5, ""average_loss"": 0.9170102822153192, ""accuracy"": 68.27171109200344, ""samples"": 1163}, {""client_id"": 4, ""average_loss"": 0.9116652806599935, ""accuracy"": 69.04796406317925, ""samples"": 6901}, {""client_id"": 9, ""average_loss"": 1.026793189884461, ""accuracy"": 64.03932946486138, ""samples"": 6204}]"
32,1.3703549978839364,51.46,347.6769845485687,2.1209257870634715,"[{""client_id"": 4, ""average_loss"": 0.8769391686828049, ""accuracy"": 70.04781915664397, ""samples"": 6901}, {""client_id"": 2, ""average_loss"": 0.9756354463100433, ""accuracy"": 67.41996233521657, ""samples"": 6372}, {""client_id"": 5, ""average_loss"": 0.8441435694694519, ""accuracy"": 72.48495270851247, ""samples"": 1163}, {""client_id"": 8, ""average_loss"": 0.9160977225258665, ""accuracy"": 67.97694694842619, ""samples"": 6767}, {""client_id"": 9, ""average_loss"": 0.9654527478611347, ""accuracy"": 66.60219213410703, ""samples"": 6204}]"
33,1.3955844925467376,54.5,357.0258822441101,3.4103656977213856,"[{""client_id"": 5, ""average_loss"": 0.751747256831119, ""accuracy"": 75.15047291487532, ""samples"": 1163}, {""client_id"": 8, ""average_loss"": 0.8926691851525936, ""accuracy"": 68.56805083493424, ""samples"": 6767}, {""client_id"": 4, ""average_loss"": 0.8466649248644158, ""accuracy"": 71.51137516301985, ""samples"": 6901}, {""client_id"": 3, ""average_loss"": 1.0195948978265126, ""accuracy"": 64.97349823321555, ""samples"": 2264}, {""client_id"": 2, ""average_loss"": 0.9425635182857514, ""accuracy"": 68.45574387947269, ""samples"": 6372}]"
34,1.5131744624702794,50.67,363.7931480407715,3.439946349266854,"[{""client_id"": 1, ""average_loss"": 1.117454935823168, ""accuracy"": 61.904761904761905, ""samples"": 2205}, {""client_id"": 6, ""average_loss"": 0.9139096438884735, ""accuracy"": 67.87684641395266, ""samples"": 5619}, {""client_id"": 7, ""average_loss"": 0.9399958559444972, ""accuracy"": 68.29649475329315, ""samples"": 4479}, {""client_id"": 3, ""average_loss"": 0.903312721186214, ""accuracy"": 70.62720848056537, ""samples"": 2264}, {""client_id"": 5, ""average_loss"": 0.8839862001569647, ""accuracy"": 71.88306104901118, ""samples"": 1163}]"
35,1.6806420998968137,46.38,373.6646842956543,1.783330687289885,"[{""client_id"": 2, ""average_loss"": 0.9171737551689148, ""accuracy"": 68.706842435656, ""samples"": 6372}, {""client_id"": 1, ""average_loss"": 1.0359021646635873, ""accuracy"": 64.71655328798185, ""samples"": 2205}, {""client_id"": 3, ""average_loss"": 0.9784588830338584, ""accuracy"": 66.43109540636043, ""samples"": 2264}, {""client_id"": 0, ""average_loss"": 0.8812216577075777, ""accuracy"": 69.40047363828991, ""samples"": 8023}, {""client_id"": 6, ""average_loss"": 0.8880629180507227, ""accuracy"": 68.92685531233316, ""samples"": 5619}]"
36,2.104420636110245,47.45,384.13987612724304,6.2722630783860325,"[{""client_id"": 0, ""average_loss"": 0.8638908011572701, ""accuracy"": 69.48772279695875, ""samples"": 8023}, {""client_id"": 5, ""average_loss"": 1.4025784605427791, ""accuracy"": 52.9664660361135, ""samples"": 1163}, {""client_id"": 8, ""average_loss"": 0.9166698703226054, ""accuracy"": 67.90305896261268, ""samples"": 6767}, {""client_id"": 6, ""average_loss"": 0.8656027906320312, ""accuracy"": 69.76330307883966, ""samples"": 5619}, {""client_id"": 7, ""average_loss"": 0.98557260121618, ""accuracy"": 65.92989506586292, ""samples"": 4479}]"
37,1.4811654508493508,53.95,394.08598709106445,3.8933603093798514,"[{""client_id"": 3, ""average_loss"": 1.211721380551656, ""accuracy"": 61.39575971731449, ""samples"": 2264}, {""client_id"": 9, ""average_loss"": 0.9433310124063, ""accuracy"": 67.7143778207608, ""samples"": 6204}, {""client_id"": 4, ""average_loss"": 0.9003176280745754, ""accuracy"": 69.32328648022026, ""samples"": 6901}, {""client_id"": 8, ""average_loss"": 0.86305684975858, ""accuracy"": 70.65169203487513, ""samples"": 6767}, {""client_id"": 1, ""average_loss"": 1.148945677280426, ""accuracy"": 61.63265306122449, ""samples"": 2205}]"
