round,global_loss,global_accuracy,elapsed_time,noniid_effectiveness,client_details
34,3.2157131703036606,17.3,4880.860493659973,0.0,"[{""client_id"": 3, ""average_loss"": 2.777687170621379, ""accuracy"": 45.46407756413748, ""samples"": 73436}, {""client_id"": 9, ""average_loss"": 2.8741422812347217, ""accuracy"": 45.36739473827551, ""samples"": 73436}, {""client_id"": 7, ""average_loss"": 2.9395586929052993, ""accuracy"": 45.20126368538592, ""samples"": 73436}, {""client_id"": 5, ""average_loss"": 2.8585878680734074, ""accuracy"": 45.548504820523995, ""samples"": 73436}, {""client_id"": 0, ""average_loss"": 2.885319612215242, ""accuracy"": 45.30203170107304, ""samples"": 73436}]"
35,3.1719075524882907,17.8,5039.044390678406,0.0,"[{""client_id"": 9, ""average_loss"": 3.0191445893338877, ""accuracy"": 45.408246636527046, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.869506982586268, ""accuracy"": 45.66152840568658, ""samples"": 73436}, {""client_id"": 3, ""average_loss"": 2.7794964136674887, ""accuracy"": 45.7840841004412, ""samples"": 73436}, {""client_id"": 0, ""average_loss"": 2.811945919185648, ""accuracy"": 45.6628901356283, ""samples"": 73436}, {""client_id"": 4, ""average_loss"": 2.850920793345517, ""accuracy"": 45.61931477749333, ""samples"": 73436}]"
36,3.102172234255797,20.1,5200.017529010773,0.0,"[{""client_id"": 4, ""average_loss"": 2.750201053326697, ""accuracy"": 45.87804346641974, ""samples"": 73436}, {""client_id"": 6, ""average_loss"": 3.17072844596775, ""accuracy"": 45.08415491039817, ""samples"": 73436}, {""client_id"": 1, ""average_loss"": 2.911884702989817, ""accuracy"": 45.381012037692685, ""samples"": 73436}, {""client_id"": 7, ""average_loss"": 2.8299738339450964, ""accuracy"": 45.81812734898415, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.7819804136100634, ""accuracy"": 45.88485211612833, ""samples"": 73436}]"
37,3.181800454285494,19.2,5360.305327177048,0.0,"[{""client_id"": 5, ""average_loss"": 2.764470889440278, ""accuracy"": 46.13132523557928, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.874103688522983, ""accuracy"": 46.22800806144126, ""samples"": 73436}, {""client_id"": 9, ""average_loss"": 2.750205735721247, ""accuracy"": 46.108175826570076, ""samples"": 73436}, {""client_id"": 7, ""average_loss"": 3.4039259722165744, ""accuracy"": 45.65744321586143, ""samples"": 73436}, {""client_id"": 8, ""average_loss"": 2.8558264598822043, ""accuracy"": 45.69420992428782, ""samples"": 73436}]"
38,3.138399588454301,21.9,5520.962678909302,0.0,"[{""client_id"": 4, ""average_loss"": 2.7312149657007985, ""accuracy"": 46.45814042159159, ""samples"": 73436}, {""client_id"": 1, ""average_loss"": 2.8063633993763446, ""accuracy"": 45.97744975216515, ""samples"": 73436}, {""client_id"": 0, ""average_loss"": 2.768953052628071, ""accuracy"": 46.16400675418051, ""samples"": 73436}, {""client_id"": 9, ""average_loss"": 2.7016837880434585, ""accuracy"": 46.31788223759464, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.6928808530578223, ""accuracy"": 46.36145759572962, ""samples"": 73436}]"
39,3.120465834049662,20.8,5680.471934556961,0.0,"[{""client_id"": 6, ""average_loss"": 2.821957014405819, ""accuracy"": 46.21983768179095, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.7112366674501267, ""accuracy"": 46.51397134920202, ""samples"": 73436}, {""client_id"": 1, ""average_loss"": 2.754536058896643, ""accuracy"": 46.51397134920202, ""samples"": 73436}, {""client_id"": 4, ""average_loss"": 2.665819307727277, ""accuracy"": 46.86393594422354, ""samples"": 73436}, {""client_id"": 7, ""average_loss"": 2.679598941522486, ""accuracy"": 46.57797265646277, ""samples"": 73436}]"
40,3.2003663254391617,17.7,5841.2167727947235,0.0,"[{""client_id"": 0, ""average_loss"": 2.692665657423951, ""accuracy"": 46.5194182689689, ""samples"": 73436}, {""client_id"": 3, ""average_loss"": 2.7085999570539236, ""accuracy"": 46.61337763494744, ""samples"": 73436}, {""client_id"": 4, ""average_loss"": 3.188016655804861, ""accuracy"": 46.42273544310692, ""samples"": 73436}, {""client_id"": 2, ""average_loss"": 2.6264950726038356, ""accuracy"": 46.69508143145052, ""samples"": 73436}, {""client_id"": 6, ""average_loss"": 2.7327733503278258, ""accuracy"": 46.40503295386459, ""samples"": 73436}]"
41,2.821037961419221,29.3,6005.017458677292,0.0,"[{""client_id"": 3, ""average_loss"": 2.699124300571354, ""accuracy"": 47.538666666666664, ""samples"": 75000}, {""client_id"": 0, ""average_loss"": 3.1162633475135353, ""accuracy"": 47.053333333333335, ""samples"": 75000}, {""client_id"": 4, ""average_loss"": 2.6681398991733563, ""accuracy"": 47.64666666666667, ""samples"": 75000}, {""client_id"": 2, ""average_loss"": 2.698439063013667, ""accuracy"": 47.45333333333333, ""samples"": 75000}, {""client_id"": 1, ""average_loss"": 2.783982867170173, ""accuracy"": 47.32533333333333, ""samples"": 75000}]"
42,2.8395205979134626,26.6,6163.869335412979,0.0,"[{""client_id"": 4, ""average_loss"": 2.6125055880802672, ""accuracy"": 48.00266666666667, ""samples"": 75000}, {""client_id"": 9, ""average_loss"": 2.7454007409722605, ""accuracy"": 47.39333333333333, ""samples"": 75000}, {""client_id"": 2, ""average_loss"": 2.6852433093063666, ""accuracy"": 47.754666666666665, ""samples"": 75000}, {""client_id"": 5, ""average_loss"": 2.83390279377208, ""accuracy"": 47.361333333333334, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 2.7837678242827315, ""accuracy"": 47.577333333333335, ""samples"": 75000}]"
43,2.863149071195323,27.5,6322.865471124649,0.0,"[{""client_id"": 7, ""average_loss"": 2.6711206850798233, ""accuracy"": 47.748, ""samples"": 75000}, {""client_id"": 2, ""average_loss"": 2.600247167870212, ""accuracy"": 48.25333333333333, ""samples"": 75000}, {""client_id"": 6, ""average_loss"": 2.6385944359137885, ""accuracy"": 47.96933333333333, ""samples"": 75000}, {""client_id"": 4, ""average_loss"": 2.5970571687459336, ""accuracy"": 48.19733333333333, ""samples"": 75000}, {""client_id"": 5, ""average_loss"": 2.7700414956378205, ""accuracy"": 47.913333333333334, ""samples"": 75000}]"
